Date,Births
6/15/59,40
6/16/59,34
6/17/59,30
6/18/59,36
6/19/59,40
6/20/59,39
6/21/59,45
6/22/59,38
6/23/59,47
6/24/59,33
6/25/59,30
6/26/59,42
6/27/59,43
6/28/59,41
6/29/59,41
6/30/59,59
7/1/59,43
7/2/59,45
7/3/59,38
7/4/59,37
7/5/59,45
7/6/59,42
7/7/59,57
7/8/59,46
7/9/59,51
7/10/59,41
7/11/59,47
7/12/59,26
7/13/59,35
7/14/59,44
7/15/59,41
7/16/59,42
7/17/59,36
7/18/59,45
7/19/59,45
7/20/59,45
7/21/59,47
7/22/59,38
7/23/59,42
7/24/59,35
7/25/59,36
7/26/59,39
7/27/59,45
7/28/59,43
7/29/59,47
7/30/59,36
7/31/59,41
8/1/59,50
8/2/59,39
8/3/59,41
8/4/59,46
8/5/59,64
8/6/59,45
8/7/59,34
8/8/59,38
8/9/59,44
8/10/59,48
8/11/59,46
8/12/59,44
8/13/59,37
8/14/59,39
8/15/59,44
8/16/59,45
8/17/59,33
8/18/59,44
8/19/59,38
8/20/59,46
8/21/59,46
8/22/59,40
8/23/59,39
8/24/59,44
8/25/59,48
8/26/59,50
8/27/59,41
8/28/59,42
8/29/59,51
8/30/59,41
8/31/59,44
9/1/59,38
9/2/59,68
9/3/59,40
9/4/59,42
9/5/59,51
9/6/59,44
9/7/59,45
9/8/59,36
9/9/59,57
9/10/59,44
9/11/59,42
9/12/59,53
9/13/59,42
9/14/59,34
9/15/59,40
9/16/59,56
9/17/59,44
9/18/59,53
9/19/59,55
9/20/59,39
9/21/59,59
9/22/59,55
9/23/59,73
9/24/59,55
9/25/59,44
9/26/59,43
9/27/59,40
9/28/59,47
9/29/59,51
9/30/59,56
10/1/59,49
10/2/59,54
10/3/59,56
10/4/59,47
10/5/59,44
10/6/59,43
10/7/59,42
10/8/59,45
10/9/59,50
10/10/59,48
10/11/59,43
10/12/59,40
10/13/59,59
10/14/59,41
10/15/59,42
10/16/59,51
10/17/59,49
10/18/59,45
10/19/59,43
10/20/59,42
10/21/59,38
10/22/59,47
10/23/59,38
10/24/59,36
10/25/59,42
10/26/59,35
10/27/59,28
10/28/59,44
10/29/59,36
10/30/59,45
10/31/59,46
11/1/59,48
11/2/59,49
11/3/59,43
11/4/59,42
11/5/59,59
11/6/59,45
11/7/59,52
11/8/59,46
11/9/59,42
11/10/59,40
11/11/59,40
11/12/59,45
11/13/59,35
11/14/59,35
11/15/59,40
11/16/59,39
11/17/59,33
11/18/59,42
11/19/59,47
11/20/59,51
11/21/59,44
11/22/59,40
11/23/59,57
11/24/59,49
11/25/59,45
11/26/59,49
11/27/59,51
11/28/59,46
11/29/59,44
11/30/59,52
12/1/59,45
12/2/59,32
12/3/59,46
12/4/59,41
12/5/59,34
12/6/59,33
12/7/59,36
12/8/59,49
12/9/59,43
12/10/59,43
12/11/59,34
12/12/59,39
12/13/59,35
12/14/59,52
12/15/59,47
12/16/59,52
12/17/59,39
12/18/59,40
12/19/59,42
12/20/59,42
12/21/59,53
12/22/59,39
12/23/59,40
12/24/59,38
12/25/59,44
12/26/59,34
12/27/59,37
12/28/59,52
12/29/59,48
12/30/59,55
12/31/59,50
